IncidentID,County,RdwyNumber,Street,RoadwayName,StreetSfx,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,Before_After_Construction,CollisionYear
28184326,HARDIN,US0031W,,DIXIE,AVE,37.74450181,-85.89214433,20.68,2/19/2021 0:00,1854,2,2,0,0,CLEAR,WET,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DUSK,Before,2021
28184324,HARDIN,US0031W,,DIXIE,AVE,37.73119603,-85.88547739,19.7,2/13/2021 0:00,1836,2,2,0,0,CLOUDY,DRY,0,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,Before,2021
28109193,HARDIN,US0031W,,DIXIE,AVE,37.73247028,-85.88606638,19.796,2/13/2021 0:00,1232,2,2,0,0,CLOUDY,DRY,1,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,Before,2021
27862081,HARDIN,US0031W,,DIXIE,AVE,37.73338808,-85.88678647,19.865,2/13/2021 0:00,1307,2,1,0,0,CLOUDY,DRY,0,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR TO REAR,STRAIGHT & LEVEL,DAYLIGHT,Before,2021
28109197,HARDIN,US0031W,,DIXIE,AVE,37.74575505,-85.89276429,20.786,2/9/2021 0:00,1546,2,2,0,1,CLOUDY,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,Before,2021
27746749,HARDIN,US0031W,,DIXIE,AVE,37.73121373,-85.88544559,19.706,1/23/2021 0:00,1240,2,1,0,0,CLEAR,DRY,0,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,Before,2021
28026196,HARDIN,US0031W,,DIXIE,AVE,37.73278115,-85.88649167,19.824,1/21/2021 0:00,1627,2,2,0,0,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,Before,2021
28026189,HARDIN,US0031W,,DIXIE,AVE,37.74555429,-85.89217064,20.746,1/17/2021 0:00,1635,2,2,0,0,CLOUDY,WET,1,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,Before,2021
28184285,HARDIN,US0031W,,DIXIE,AVE,37.73938856,-85.88948261,20.307,1/11/2021 0:00,1747,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,Before,2021
28026508,HARDIN,US0031W,,DIXIE,AVE,37.73971921,-85.88992481,20.337,1/6/2021 0:00,1247,2,2,0,0,CLOUDY,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,Before,2021
27837952,HARDIN,US0031W,,DIXIE,AVE,37.7318113,-85.88572311,19.746,1/2/2021 0:00,1345,2,2,0,0,CLOUDY,DRY,0,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & GRADE,DAYLIGHT,Before,2021
28026505,HARDIN,US0031W,,DIXIE,AVE,37.73457006,-85.88732197,19.976,1/2/2021 0:00,1819,2,2,0,0,CLEAR,DRY,1,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DUSK,Before,2021
27837958,HARDIN,US0031W,,DIXIE,AVE,37.72836981,-85.88430945,19.496,1/1/2021 0:00,1257,2,1,0,0,CLOUDY,DRY,0,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,Before,2021
28109139,HARDIN,US0031W,,DIXIE,AVE,37.72921661,-85.88472037,19.554,12/30/2020 0:00,1950,2,2,0,0,RAINING,WET,0,SIDESWIPE COLLISION - OPPOSITE DIRECTION,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,Before,2020
28026369,HARDIN,US0031W,1815,DIXIE,AVE,37.73598274,-85.88779978,20.108,12/28/2020 0:00,1543,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,Before,2020
28109138,HARDIN,US0031W,,DIXIE,AVE,37.74116783,-85.89062239,20.42,12/22/2020 0:00,2249,2,2,0,0,CLEAR,DRY,0,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,Before,2020
27606686,HARDIN,US0031W,,DIXIE,AVE,37.73999956,-85.88979255,20.347,12/18/2020 0:00,1959,2,2,0,0,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,Before,2020
27837937,HARDIN,US0031W,,DIXIE,AVE,37.74525578,-85.89222792,20.729,12/18/2020 0:00,1442,2,2,0,0,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT,Before,2020
28184267,HARDIN,US0031W,,DIXIE,AVE,37.74579139,-85.89275648,20.769,12/15/2020 0:00,1704,3,3,0,0,CLOUDY,DRY,0,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & GRADE,DUSK,Before,2020
27601785,HARDIN,US0031W,,DIXIE,AVE,37.73587082,-85.88802379,20.105,12/14/2020 0:00,1228,2,1,0,0,CLOUDY,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & GRADE,DAYLIGHT,Before,2020
28109116,HARDIN,US0031W,,DIXIE,AVE,37.73266966,-85.88634652,19.816,12/14/2020 0:00,1400,3,3,0,0,CLOUDY,DRY,0,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,Before,2020
27585845,HARDIN,US0031W,,DIXIE,AVE,37.73117853,-85.88570908,19.717,12/11/2020 0:00,1125,2,2,0,0,CLEAR,DRY,0,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,Before,2020
27606735,HARDIN,US0031W,,DIXIE,AVE,37.73411569,-85.88714423,19.93,12/11/2020 0:00,1701,2,2,0,0,CLEAR,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,Before,2020
28109118,HARDIN,US0031W,,DIXIE,AVE,37.73393558,-85.88705739,19.902,12/7/2020 0:00,1622,2,2,0,0,CLEAR,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,Before,2020
27606732,HARDIN,US0031W,,DIXIE,AVE,37.73258206,-85.88612352,19.804,12/6/2020 0:00,1717,2,2,0,0,CLOUDY,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,Before,2020
28184245,HARDIN,US0031W,,DIXIE,AVE,37.73132711,-85.88577232,19.694,12/4/2020 0:00,2050,2,2,0,0,CLOUDY,DRY,1,VEHICLE BACKING IN INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT,Before,2020
28109092,HARDIN,US0031W,,DIXIE,AVE,37.74549964,-85.89237433,20.748,12/1/2020 0:00,1240,2,2,0,0,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,Before,2020
28109090,HARDIN,US0031W,,DIXIE,AVE,37.73122093,-85.88545511,19.706,11/28/2020 0:00,125,2,2,0,0,CLEAR,DRY,1,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,Before,2020
28109087,HARDIN,US0031W,,DIXIE,AVE,37.74557868,-85.89238568,20.754,11/27/2020 0:00,1158,2,2,0,0,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,Before,2020
28109086,HARDIN,US0031W,,DIXIE,AVE,37.7324331,-85.8863223,19.799,11/27/2020 0:00,801,2,2,0,1,CLOUDY,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,Before,2020
28109101,HARDIN,US0031W,,DIXIE,AVE,37.73927352,-85.88977907,20.306,11/26/2020 0:00,1927,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,Before,2020
28109081,HARDIN,US0031W,,DIXIE,AVE,37.74673347,-85.89324564,20.848,11/20/2020 0:00,1812,2,2,0,0,CLEAR,DRY,0,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,Before,2020
27585838,HARDIN,US0031W,,DIXIE,AVE,37.7323997,-85.88631687,19.79,11/18/2020 0:00,1206,2,2,0,0,CLEAR,DRY,0,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,Before,2020
27606787,HARDIN,US0031W,,DIXIE,AVE,37.73611245,-85.88821869,20.126,11/16/2020 0:00,1245,1,1,0,0,CLEAR,DRY,0,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,Before,2020
28026496,HARDIN,US0031W,,DIXIE,AVE,37.73421441,-85.88719452,19.889,11/13/2020 0:00,1200,3,3,0,0,CLEAR,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,Before,2020
28026498,HARDIN,US0031W,,DIXIE,AVE,37.73077073,-85.88522778,19.668,11/13/2020 0:00,1328,3,3,0,0,CLEAR,DRY,1,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,Before,2020
