ObjectID,IncidentID,County,RdwyNumber,Street,RoadwayName,StreetSfx,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,CollisionYear,Before/After Construction
1,30411426,HARDIN,US0031W,,DIXIE,AVE,37.71792487,-85.87895514,18.725,8/6/2022,1332,2,2,0,0,CLEAR,DRY,0,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
2,30612855,HARDIN,US0031W,,DIXIE,AVE,37.70804913,-85.87338022,17.963,8/5/2022,1116,2,2,0,0,RAINING,WET,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
3,30476473,HARDIN,US0031W,,DIXIE,AVE,37.71934405,-85.87957362,18.817,8/2/2022,0737,2,2,0,0,CLEAR,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
7,30476448,HARDIN,US0031W,,DIXIE,AVE,37.71593734,-85.87784462,18.57,7/8/2022,1258,2,2,0,0,CLOUDY,DRY,1,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
8,30279085,HARDIN,US0031W,,DIXIE,AVE,37.71787993,-85.87911397,18.721,7/6/2022,1116,2,2,0,1,CLEAR,DRY,0,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
9,30612810,HARDIN,US0031W,,DIXIE,AVE,37.71254655,-85.87647554,18.322,7/6/2022,0035,1,1,0,0,CLEAR,DRY,0,COLLISION WITH NON-FIXED OBJECT ,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,2022,Before
10,30612807,HARDIN,US0031W,,DIXIE,AVE,37.71277737,-85.87650938,18.334,7/5/2022,0938,2,2,0,0,CLEAR,DRY,0,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
11,30279073,HARDIN,US0031W,,DIXIE,AVE,37.71354322,-85.87696559,18.396,7/2/2022,2134,2,2,0,1,CLEAR,DRY,0,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,2022,Before
13,30273519,HARDIN,US0031W,,DIXIE,AVE,37.71848051,-85.87916271,18.759,7/1/2022,0907,2,2,0,1,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
14,30279079,HARDIN,US0031W,,DIXIE,AVE,37.71647595,-85.87812085,18.61,6/29/2022,1106,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
15,30279058,HARDIN,US0031W,,DIXIE,AVE,37.71794898,-85.87886359,18.721,6/29/2022,1342,2,2,0,0,CLEAR,DRY,0,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
16,30375903,HARDIN,US0031W,,DIXIE,AVE,37.71031041,-85.8750068,18.149,6/27/2022,0931,2,1,0,1,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
17,30279038,HARDIN,US0031W,,DIXIE,AVE,37.71673626,-85.87827433,18.63,6/21/2022,1514,2,2,0,0,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
18,30279027,HARDIN,US0031W,,DIXIE,AVE,37.70516578,-85.87196388,17.739,6/20/2022,1513,2,2,0,0,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
19,30223754,HARDIN,US0031W,,DIXIE,AVE,37.7051654,-85.87195558,17.739,6/19/2022,1755,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
20,30279017,HARDIN,US0031W,,DIXIE,AVE,37.71022669,-85.87493795,18.142,6/10/2022,1432,2,2,0,1,RAINING,WET,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
21,30273506,HARDIN,US0031W,,DIXIE,AVE,37.70883359,-85.87429855,18.04,6/3/2022,1840,1,1,0,2,CLEAR,DRY,0,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
22,33173673,HARDIN,US0031W,,DIXIE,AVE,37.70426222,-85.87122201,17.678,5/31/2022,1640,2,2,0,0,CLEAR,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
23,30273466,HARDIN,US0031W,,DIXIE,AVE,37.71088532,-85.87562453,18.198,5/27/2022,1118,2,2,0,0,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
24,30163743,HARDIN,US0031W,,DIXIE,AVE,37.70905462,-85.87450166,18.059,5/23/2022,1024,2,2,0,0,CLOUDY,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
27,30004564,HARDIN,US0031W,,DIXIE,AVE,37.71783231,-85.87910184,18.733,4/16/2022,1402,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
28,29948025,HARDIN,US0031W,,DIXIE,AVE,37.7088268,-85.87400559,18.032,4/10/2022,1323,2,2,0,0,CLEAR,DRY,0,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
30,30004544,HARDIN,US0031W,,DIXIE,AVE,37.7179179,-85.87888554,18.723,4/7/2022,1857,2,1,0,1,CLEAR,DRY,0,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
32,29949943,HARDIN,US0031W,,DIXIE,AVE,37.7186603,-85.87950733,18.782,3/9/2022,0404,2,2,0,0,RAINING,WET,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,2022,Before
33,29786850,HARDIN,US0031W,,DIXIE,AVE,37.71797163,-85.87887419,18.723,3/5/2022,1329,1,1,0,0,SEVERE CROSSWINDS,DRY,0,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
35,29813579,HARDIN,US0031W,,DIXIE,AVE,37.70896463,-85.87438518,18.05,3/3/2022,1515,2,2,0,0,CLEAR,DRY,1,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
36,29762695,HARDIN,US0031W,,DIXIE,AVE,37.70874638,-85.87422252,18.033,2/25/2022,2037,2,2,0,0,CLOUDY,DRY,1,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,2022,Before
37,29724227,HARDIN,US0031W,,DIXIE,AVE,37.71903884,-85.8793806,18.797,2/19/2022,1806,2,2,0,0,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
38,29805961,HARDIN,US0031W,,DIXIE,AVE,37.70882979,-85.87402981,18.031,2/18/2022,0814,2,2,0,0,CLEAR,DRY,0,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
39,29671199,HARDIN,US0031W,,DIXIE,AVE,37.71013575,-85.87519795,18.142,2/7/2022,1122,2,2,0,0,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
40,29642458,HARDIN,US0031W,,DIXIE,AVE,37.70993719,-85.87507454,18.127,1/28/2022,1217,2,2,0,0,CLOUDY,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2022,Before
41,29585361,HARDIN,US0031W,,DIXIE,AVE,37.71811552,-85.87894377,18.733,1/13/2022,1931,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,2022,Before
42,29516544,HARDIN,US0031W,,DIXIE,AVE,37.70433765,-85.87133376,17.685,12/29/2021,1613,2,2,0,0,CLEAR,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2021,Before
43,29525033,HARDIN,US0031W,,DIXIE,AVE,37.70881968,-85.87397954,18.03,12/20/2021,1030,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2021,Before
44,29478828,HARDIN,US0031W,,DIXIE,AVE,37.7130845,-85.87673001,18.362,12/16/2021,1410,2,2,0,0,CLOUDY,WET,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2021,Before
45,29389506,HARDIN,US0031W,,DIXIE,AVE,37.71038625,-85.8750648,18.155,12/4/2021,1027,2,2,0,0,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2021,Before
