IncidentID,County,RdwyNumber,Street,RoadwayName,StreetSfx,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,Section,Before/After Construction
30560568,HARDIN,US0031W,,DIXIE,AVE,37.73343258,-85.88660294,19.864,9/8/2022,1322,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
30572635,HARDIN,US0031W,,DIXIE,AVE,37.73802435,-85.88882789,20.219,9/9/2022,1503,2,2,0,0,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
30548434,HARDIN,US0031W,,DIXIE,AVE,37.74552202,-85.89267918,20.756,9/10/2022,1436,2,2,0,0,CLOUDY,DRY,FALSE,MEDIAN CROSS-OVER COLLISION ,SIDESWIPE-SAME DIRECTION,STRAIGHT & GRADE,DAYLIGHT,KY 3005 to Crutz Lane,After
30617823,HARDIN,US0031W,,DIXIE,AVE,37.74129081,-85.89042842,20.431,9/17/2022,2030,2,2,0,0,CLEAR,DRY,FALSE,VEHICLE BACKING IN INTERSECTION,BACKING,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,KY 3005 to Crutz Lane,After
30612781,HARDIN,US0031W,,DIXIE,AVE,37.73149427,-85.88572003,19.726,9/21/2022,1300,2,2,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
30647976,HARDIN,US0031W,,DIXIE,AVE,37.73379451,-85.88672369,19.888,9/27/2022,1725,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
30730802,HARDIN,US0031W,,DIXIE,AVE,37.73358296,-85.8866126,19.873,10/7/2022,1400,2,1,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & GRADE,DAYLIGHT,KY 3005 to Crutz Lane,After
30708816,HARDIN,US0031W,,DIXIE,AVE,37.73056535,-85.8851649,19.653,10/11/2022,1514,2,2,0,0,CLOUDY,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
30910531,HARDIN,US0031W,,DIXIE,AVE,37.73102094,-85.88561396,19.693,10/13/2022,1530,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
30910582,HARDIN,US0031W,,DIXIE,AVE,37.73163324,-85.88596575,19.74,10/14/2022,1301,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
30806456,HARDIN,US0031W,,DIXIE,AVE,37.72855585,-85.88436605,19.509,10/18/2022,1416,2,2,0,0,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
30781413,HARDIN,US0031W,,DIXIE,AVE,37.73425366,-85.88721716,19.944,10/18/2022,1555,2,2,0,0,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
30708791,HARDIN,US0031W,,DIXIE,AVE,37.74111635,-85.89060042,20.432,10/18/2022,1752,2,2,0,0,CLEAR,DRY,FALSE,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31280047,HARDIN,US0031W,,DIXIE,AVE,37.72905866,-85.88437297,19.536,11/4/2022,722,2,1,1,0,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,KY 3005 to Crutz Lane,After
30781414,HARDIN,US0031W,,DIXIE,AVE,37.74172986,-85.89086039,20.477,11/4/2022,1658,2,2,0,0,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,REAR END,STRAIGHT & GRADE,DAYLIGHT,KY 3005 to Crutz Lane,After
30838179,HARDIN,US0031W,,DIXIE,AVE,37.74040403,-85.89000353,20.374,11/18/2022,1722,2,2,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DUSK,KY 3005 to Crutz Lane,After
30910518,HARDIN,US0031W,,DIXIE,AVE,37.72839023,-85.88432425,19.498,11/21/2022,1238,2,2,0,0,CLOUDY,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
30910548,HARDIN,US0031W,,DIXIE,AVE,37.73130986,-85.88575432,19.714,11/23/2022,1643,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
30910532,HARDIN,US0031W,,DIXIE,AVE,37.73266138,-85.88643458,19.816,11/24/2022,1106,2,2,0,0,CLOUDY,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
30959594,HARDIN,US0031W,,DIXIE,AVE,37.74546714,-85.89260268,20.751,12/8/2022,1123,2,1,0,0,RAINING,WET,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & GRADE,DAYLIGHT,KY 3005 to Crutz Lane,After
31016431,HARDIN,US0031W,,DIXIE,AVE,37.73084409,-85.8852676,19.673,12/9/2022,1852,3,3,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,KY 3005 to Crutz Lane,After
31223302,HARDIN,US0031W,,DIXIE,AVE,37.73428319,-85.88724888,19.948,12/9/2022,1026,2,2,0,0,CLOUDY,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31016468,HARDIN,US0031W,,DIXIE,AVE,37.73297186,-85.88630702,19.831,12/15/2022,1247,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
30973442,HARDIN,US0031W,,DIXIE,AVE,37.73259281,-85.88613108,19.805,12/21/2022,1732,2,2,0,0,CLOUDY,DRY,FALSE,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,KY 3005 to Crutz Lane,After
31016459,HARDIN,US0031W,,DIXIE,AVE,37.73564381,-85.88764247,20.08,12/22/2022,1103,2,2,0,0,CLOUDY,WET,FALSE,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31223317,HARDIN,US0031W,,DIXIE,AVE,37.74452547,-85.89213232,20.682,12/30/2022,1128,2,2,0,1,CLOUDY,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31014081,HARDIN,US0031W,,DIXIE,AVE,37.74112374,-85.89060355,20.432,1/2/2023,1806,2,2,0,0,CLEAR,WET,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,KY 3005 to Crutz Lane,After
31317681,HARDIN,US0031W,,DIXIE,AVE,37.73623722,-85.88820808,20.135,1/10/2023,1417,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & GRADE,DAYLIGHT,KY 3005 to Crutz Lane,After
31217323,HARDIN,US0031W,,DIXIE,AVE,37.73412044,-85.88689387,19.923,1/27/2023,1208,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
